"ID","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","year","re","GID_2"
1,-0.521401584148407,0.0957367941737175,-0.709817458001125,-0.52126043528706,-0.333926188166957,-0.520965695381165,6.88916724808576e-07,2021,1,"IND.1.1_1"
2,-0.25607705116272,0.0737299993634224,-0.400959225031649,-0.256048578675231,-0.111483398981536,-0.255985289812088,1.16849423973091e-07,2021,1,"IND.11.2_1"
3,-0.194692850112915,0.0731396302580833,-0.338424091932066,-0.19466204124547,-0.051260828425239,-0.194594278931618,2.16496925457474e-07,2021,1,"IND.13.12_1"
4,0.0269626174122095,0.0727020353078842,-0.115815421519199,0.0269608703101921,0.169621745139242,0.0269634202122688,1.40805516430964e-07,2021,1,"IND.13.2_1"
5,-0.177555203437805,0.0730918273329735,-0.321212770243901,-0.177517640532123,-0.0342340006736319,-0.177436396479607,2.34558876977762e-07,2021,1,"IND.13.3_1"
6,-0.198391705751419,0.0731553733348846,-0.342164247365382,-0.198357185256624,-0.0549392128482198,-0.198281988501549,1.84290863172439e-07,2021,1,"IND.13.4_1"
7,0.0124940481036901,0.0727246925234795,-0.13032380911153,0.0124907052404194,0.155202308586894,0.012490002438426,1.82452945278932e-07,2021,1,"IND.13.5_1"
8,0.0987397730350494,0.0725871846079826,-0.043797808195483,0.098732767652486,0.241187631844416,0.0987247452139854,1.34651918718711e-07,2021,1,"IND.13.7_1"
9,0.0132071562111378,0.0729414448142052,-0.130002079294306,0.0131923385972931,0.156368952170568,0.0131688909605145,1.12007661953376e-07,2021,1,"IND.14.10_1"
10,-0.0919775292277336,0.0729477256536484,-0.235260610511503,-0.0919709516488367,0.051139673992789,-0.0919516086578369,1.1315138758101e-07,2021,1,"IND.15.24_1"
11,-0.125721901655197,0.0735710337758064,-0.270270306062376,-0.125701569046499,0.0185865326812134,-0.125654816627502,5.05616677988523e-07,2021,1,"IND.16.30_1"
12,-0.188036397099495,0.0731005594134331,-0.3316841909117,-0.188007733403475,-0.0446768993357676,-0.187944233417511,1.27678863422285e-07,2021,1,"IND.19.1_1"
13,-0.222258612513542,0.0731266215443611,-0.365968462696752,-0.222226199568105,-0.0788578065759715,-0.222155198454857,1.32592415691255e-07,2021,1,"IND.19.21_1"
14,-0.323709815740585,0.0733704715967178,-0.467932374603405,-0.323665527648777,-0.179862044257963,-0.32357069849968,1.55722915327211e-07,2021,1,"IND.19.28_1"
15,-0.337815552949905,0.0733678415417671,-0.482047018623521,-0.337766428498229,-0.193985657988944,-0.337661892175674,1.49883075441752e-07,2021,1,"IND.19.48_1"
16,-0.240508005023003,0.0733045637607574,-0.384566651966998,-0.240475629620335,-0.0967582435427849,-0.240404695272446,1.42859352573327e-07,2021,1,"IND.19.5_1"
17,-0.187619715929031,0.0736364647746086,-0.332346718610369,-0.187581831222394,-0.0432328044526482,-0.18749988079071,1.44859962515712e-07,2021,1,"IND.20.10_1"
18,-0.26178103685379,0.0736914426088333,-0.406633939107998,-0.261736907729141,-0.117302265105286,-0.261642426252365,2.04309455428771e-07,2021,1,"IND.20.11_1"
19,-0.283604651689529,0.0739703178405762,-0.429027217415417,-0.28355285663198,-0.138599327119393,-0.283442974090576,1.67436626752007e-07,2021,1,"IND.20.12_1"
20,-0.0354125499725342,0.0737213343381882,-0.180256734630329,-0.0353918482371511,0.109186276052365,-0.0353443212807178,1.31403570816254e-07,2021,1,"IND.20.31_1"
21,-0.311812043190002,0.0740140452980995,-0.457336746113053,-0.311754714265679,-0.166734787596058,-0.311633706092834,2.31556604071297e-07,2021,1,"IND.20.5_1"
22,-0.30893212556839,0.075083427131176,-0.456509386673426,-0.308889825875814,-0.161723469317045,-0.308798372745514,3.88827744575177e-07,2021,1,"IND.21.9_1"
23,0.451257139444351,0.0721584334969521,0.309799436796063,0.451168358795342,0.593079532856325,0.450996190309525,1.69676920174026e-07,2021,1,"IND.22.4_1"
24,0.0973804742097855,0.073420524597168,-0.0467249815096389,0.0973507070012514,0.241519071126482,0.0972973331809044,1.73436124993094e-07,2021,1,"IND.23.2_1"
25,0.284725815057755,0.0732230246067047,0.141101254491472,0.284664306403307,0.428558956025118,0.28454726934433,2.73705072675878e-07,2021,1,"IND.23.6_1"
26,0.345087200403214,0.0733252689242363,0.201303649084585,0.345011163797576,0.489160324876061,0.344864785671234,1.96482444288643e-07,2021,1,"IND.23.7_1"
27,0.311610907316208,0.0730787292122841,0.16828860612742,0.31154273874491,0.455179465827106,0.311412215232849,1.88103882884207e-07,2021,1,"IND.23.8_1"
28,0.463241517543793,0.0724634453654289,0.321206489840655,0.463145990971799,0.605675820735102,0.46296027302742,1.49142444768534e-07,2021,1,"IND.24.11_1"
29,0.478875786066055,0.0725983455777168,0.336571408759634,0.478782146567858,0.621568230530429,0.478600293397903,1.8994256745789e-07,2021,1,"IND.24.2_1"
30,0.351460784673691,0.0724095404148102,0.209466289617449,0.351387581321677,0.49373085886957,0.35124683380127,1.5845393147869e-07,2021,1,"IND.24.4_1"
31,0.429807335138321,0.0726388320326805,0.287405453006246,0.429719648866965,0.572564671189066,0.429549783468246,1.52241352064156e-07,2021,1,"IND.24.6_1"
32,0.336686342954636,0.0724532604217529,0.194599690296642,0.336615359686869,0.479036378819907,0.336479127407074,1.36408081578132e-07,2021,1,"IND.24.8_1"
