Model,DIC,logscore
basemodel,2746,0.297
model_1.1,2563,0.277
model_1.2,2618,0.283
model_1.3,2671,0.288
model_1.4,2539,0.274
model_2.1,2485,0.269
model_2.2,2502,0.27
model_2.3,2381,0.257
model_2.4,2563,0.277
model_3.1,2465,0.267
model_3.2,2302,0.248
model_3.3,2485,0.269
model_3.4,2320,0.25
model_3.5,2502,0.27
model_3.6,2381,0.257
model_4.1,2285,0.247
model_4.2,2466,0.267
model_4.3,2303,0.248
model_4.4,2319,0.25
