"base","new","diff"
0.167391742218466,0.163022087297028,0.00436965492143804
0.213780029534735,0.248083311515715,-0.0343032819809803
0.200942455041255,0.219463407657476,-0.0185209526162215
0.146427372003218,0.185376368805987,-0.0389489968027688
0.101597413166769,0.100176237694047,0.00142117547272132
0.201832357491711,0.230863944098752,-0.0290315866070406
0.211055306626328,0.254695807976216,-0.0436405013498881
0.1617934168126,0.184128264741482,-0.0223348479288825
0.223112436565741,0.247820777882206,-0.0247083413164658
0.110779147509043,0.163598253184431,-0.0528191056753876
0.211004935914927,0.231639190641571,-0.0206342547266434
0.215554684176713,0.21412440904913,0.00143027512758245
0.291131984835677,0.318900705347589,-0.0277687205119118
0.160759715253342,0.164647365446058,-0.00388765019271581
0.172800952035239,0.143385791506028,0.0294151605292114
0.279853817245458,0.277125482724877,0.00272833452058147
0.603295194408277,0.540549487221636,0.062745707186641
0.227445536268888,0.250100147262852,-0.0226546109939641
0.158360651671593,0.165514946131255,-0.00715429445966245
0.227434985159504,0.263973742485495,-0.0365387573259915
0.120919407369668,0.126851007816537,-0.00593160044686933
0.188171923288987,0.208179067970888,-0.020007144681901
0.302756649642404,0.294551853327212,0.00820479631519255
0.172679020260054,0.16125146542809,0.0114275548319646
0.189985660290012,0.18938899945844,0.000596660831572005
0.220663070270168,0.21521389545628,0.00544917481388821
0.12282976755571,0.126077223777427,-0.00324745622171689
0.123975484962595,0.166304740068038,-0.0423292551054438
0.368105796055884,0.345907207957214,0.0221985880986704
0.20498299921885,0.199300136330815,0.00568286288803543
0.330618514006712,0.290934212194998,0.0396843018117143
0.337825252906339,0.354006632412078,-0.0161813795057387
0.159316761937584,0.210750209928905,-0.0514334479913209
0.344742544349461,0.343006179004578,0.00173636534488303
0.28856252904128,0.282256183606814,0.00630634543446518
0.645155695066127,0.558561833403664,0.0865938616624624
0.235025702606668,0.255013424282097,-0.019987721675429
0.124607420758318,0.116725025902307,0.00788239485601168
0.145700166363345,0.172950013915202,-0.0272498475518569
0.191895464341695,0.174250040298892,0.0176454240428029
0.159907324071127,0.180775058938622,-0.0208677348674945
0.406993182306913,0.479695148170556,-0.0727019658636432
0.315766593115777,0.28963983169052,0.0261267614252575
0.34957957608546,0.312266246223318,0.0373133298621428
0.286726096276405,0.31231703266041,-0.0255909363840047
0.162126983748468,0.183202306483937,-0.0210753227354693
0.40992240122138,0.448859397609025,-0.0389369963876453
0.444041714934977,0.456280484377263,-0.0122387694422855
0.397939656284791,0.481032034058931,-0.0830923777741395
0.328299311735732,0.230131390116827,0.0981679216189051
0.271089989762893,0.219795654741639,0.0512943350212547
0.235566491609151,0.181402743081854,0.0541637485272971
0.232567749556623,0.198768708162586,0.0337990413940361
0.24495931820181,0.232693646519053,0.0122656716827569
0.271824343168252,0.234515621395085,0.0373087217731679
0.258407016055238,0.19814828542528,0.0602587306299578
0.124572504665697,0.121416717939932,0.00315578672576555
0.276633994495675,0.198803792550728,0.0778302019449475
0.228155263112116,0.187851367489078,0.0403038956230377
0.221756082415843,0.176874859662768,0.0448812227530754
0.1119405590906,0.0812669237782161,0.0306736353123842
0.255997921454132,0.217875101894304,0.0381228195598276
0.288522597113267,0.208370516724409,0.0801520803888573
0.292099007624052,0.219137296179691,0.072961711444361
0.304606213108533,0.242000613692758,0.0626055994157757
0.286415970563632,0.240741442443729,0.0456745281199031
0.235346906045153,0.243603624937469,-0.00825671889231619
0.262143973001168,0.230154543310225,0.0319894296909432
0.290837281908952,0.27595719535357,0.0148800865553815
0.345551520538847,0.226517669743099,0.119033850795748
0.24538355812047,0.220526680540044,0.0248568775804253
0.274493324663134,0.24170651921929,0.0327868054438442
0.292759114307089,0.226534795394451,0.0662243189126381
0.857213974337991,0.761702204535293,0.0955117698026982
0.541891349757142,0.512000902562119,0.0298904471950235
0.224428373727026,0.281136966221676,-0.0567085924946505
0.194031760294867,0.206572836482794,-0.0125410761879268
0.23085270981611,0.218375338640609,0.0124773711755015
0.295897194274273,0.248978173355193,0.0469190209190797
0.176029122376921,0.158837604981008,0.0171915173959129
0.163815643618787,0.162792115432653,0.00102352818613433
0.261178632354842,0.254304182534771,0.00687444982007113
0.186165236258584,0.20563292826005,-0.0194676920014664
0.150592560104388,0.157946042994836,-0.00735348289044788
0.431338970043559,0.37987018862967,0.0514687814138891
0.506795410902508,0.423131703098688,0.0836637078038201
0.408468998747848,0.403026801760886,0.00544219698696236
0.430089398730305,0.407814110295179,0.0222752884351263
0.25805638749036,0.268207672645847,-0.0101512851554866
0.230611924149012,0.214389647347648,0.0162222768013643
0.136400591221052,0.146944385953423,-0.0105437947323712
0.169225006955167,0.161125480885554,0.0080995260696122
0.183922411780141,0.204426623896222,-0.0205042121160808
0.147731018972146,0.119861035558179,0.027869983413967
0.480674148753906,0.422822069393447,0.0578520793604587
0.467566135641234,0.467901765458257,-0.000335629817022565
0.250113634338875,0.25383339645854,-0.00371976211966524
0.658319294569303,0.599626542376767,0.058692752192536
0.350174575532894,0.287829956020887,0.0623446195120063
0.262934077358756,0.2194812393809,0.0434528379778564
0.430346967338876,0.389055699077715,0.0412912682611613
0.164751709191351,0.161714477776644,0.00303723141470716
0.208402639321184,0.196822116342322,0.0115805229788614
0.641695858568541,0.598725083261007,0.0429707753075347
0.144854206630027,0.169788550013761,-0.0249343433837347
0.296809185827696,0.217946909896756,0.07886227593094
0.211012839136291,0.20699796921253,0.00401486992376013
0.20816660350535,0.158458482406404,0.0497081210989466
0.242993199448921,0.207091082409892,0.0359021170390297
0.226473208675363,0.170373239156166,0.0560999695191967
