"ID","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","year","re","GID_2"
49,0.0629386976361275,0.0484532229602337,-0.0311929871490204,0.0625686133753864,0.159026194243506,0.0618023723363876,1.0687717993185e-05,2021,1,"IND.15.8_1"
50,0.000229686120292172,0.0502529516816139,-0.0985716899652935,0.000239118592589613,0.0988839752962245,0.00026232362142764,3.86224842548503e-07,2021,1,"IND.16.12_1"
51,0.00324455252848566,0.0491784326732159,-0.0933255456141386,0.0032130418588421,0.0998975670782229,0.00315361004322767,6.9946522998995e-07,2021,1,"IND.16.13_1"
52,-0.0366997458040714,0.0494407527148724,-0.134291116087325,-0.0365540564714546,0.0600041635557794,-0.0362485311925411,1.14762570574493e-06,2021,1,"IND.16.14_1"
53,-0.00820382870733738,0.0491950735449791,-0.105147339293803,-0.00811917437694588,0.0881815350415221,-0.00794219225645065,1.58243900965434e-06,2021,1,"IND.16.17_1"
54,0.00421413453295827,0.0494534261524677,-0.09308298762992,0.0042487490961088,0.101226704974569,0.00432405713945627,1.63812474839406e-06,2021,1,"IND.16.20_1"
55,0.0329289324581623,0.0492131374776363,-0.0635179860668261,0.0328337646397532,0.129804998057072,0.0326417237520218,5.3360197329916e-07,2021,1,"IND.16.22_1"
56,0.0119310570880771,0.0495032519102097,-0.0853707199781491,0.0119319334050245,0.109133146477284,0.011937809176743,1.41466331676478e-06,2021,1,"IND.16.23_1"
57,0.0167339667677879,0.0489345490932465,-0.079176505767773,0.0166407164627302,0.113068195603977,0.0164532344788313,1.1479991902092e-06,2021,1,"IND.16.25_1"
58,0.015332137234509,0.0505213402211666,-0.0837359404768964,0.0152519227632679,0.114740874006284,0.0150914574041963,1.63779582625849e-07,2021,1,"IND.16.26_1"
59,-0.0256390180438757,0.0500319264829159,-0.1243333554339,-0.0255123989629577,0.0722667255060142,-0.0252472199499607,1.75721187626129e-06,2021,1,"IND.16.27_1"
60,-0.015687670558691,0.0499694794416428,-0.114212219128124,-0.0155786158617794,0.0821431267657207,-0.0153505597263575,1.62053358944788e-06,2021,1,"IND.16.2_1"
61,-0.0355279296636581,0.050360694527626,-0.135235512043536,-0.0352718400597815,0.0626836670347155,-0.0347403548657894,3.7396256195052e-06,2021,1,"IND.16.3_1"
62,-0.0238866973668337,0.0496173910796642,-0.121701487356259,-0.0237834149145306,0.073270226835312,-0.0235657896846533,9.22453857148901e-07,2021,1,"IND.16.5_1"
63,-0.0461807437241077,0.0501618981361389,-0.145738550562331,-0.045838585108951,0.0514137873177074,-0.0451294258236885,5.54999982580861e-06,2021,1,"IND.17.10_1"
64,-0.0404112339019775,0.0503577999770641,-0.140006135374497,-0.0401944933711527,0.0579030176400301,-0.0397465080022812,6.31458011246836e-07,2021,1,"IND.17.12_1"
65,-0.0514384247362614,0.0507379993796349,-0.151912304730811,-0.0511720293847961,0.0474851974642404,-0.0506200827658176,6.44241504127029e-07,2021,1,"IND.17.13_1"
66,-0.0789933279156685,0.0514854788780212,-0.181304824897001,-0.0785917647048618,0.021033963032754,-0.0777572914958,2.42734105403831e-06,2021,1,"IND.17.1_1"
67,-0.0466202758252621,0.050790086388588,-0.147242245762263,-0.0463394823152093,0.0523707145149574,-0.0457592085003853,1.00502485954644e-06,2021,1,"IND.17.2_1"
68,-0.0698748379945755,0.0509283021092415,-0.170922753385699,-0.0695338316046675,0.0292182671573786,-0.0688254088163376,1.63808786429715e-06,2021,1,"IND.17.4_1"
69,-0.0544690228998661,0.0504072457551956,-0.154279565284637,-0.0542106559944864,0.0438340160373653,-0.0536763109266758,1.01370748234448e-06,2021,1,"IND.17.5_1"
70,-0.0761026442050934,0.051121398806572,-0.177646502785114,-0.0757194913277254,0.0232568802457851,-0.0749237090349197,2.46468696284418e-06,2021,1,"IND.17.6_1"
71,-0.0807879120111465,0.0519757010042667,-0.184208595121193,-0.0803287830527429,0.0200357569338259,-0.0793735682964325,4.98392116750183e-06,2021,1,"IND.17.7_1"
72,-0.0550429448485374,0.0511477813124657,-0.156491172437444,-0.0547156704199658,0.0445222785756679,-0.0540378056466579,1.31530822966081e-06,2021,1,"IND.17.8_1"
73,-0.07284015417099,0.0514005534350872,-0.174888483941,-0.0724712015347949,0.0271007815076451,-0.071704775094986,1.51996644129343e-06,2021,1,"IND.17.9_1"
74,0.0851467922329903,0.0499376654624939,-0.0116887695115225,0.0847163960744369,0.184273843758679,0.0838177874684334,2.01923014887481e-05,2021,1,"IND.19.10_1"
75,0.0868646502494812,0.049628734588623,-0.00927657085433174,0.0864074600204094,0.185445790533782,0.0854510143399239,2.08761031752303e-05,2021,1,"IND.19.11_1"
76,-0.0834706872701645,0.0504251234233379,-0.183333915513174,-0.0831972535147098,0.0148068563926738,-0.0826276987791061,1.4433082877784e-06,2021,1,"IND.19.12_1"
77,-0.0653106197714806,0.0498034916818142,-0.163679888598842,-0.0651381987288584,0.0320245424851141,-0.0647783204913139,7.04871157786668e-07,2021,1,"IND.19.13_1"
78,0.00434544216841459,0.0492345616221428,-0.0918806233624212,0.0041617354003611,0.101501326700619,0.00378808635286987,6.27844487343255e-06,2021,1,"IND.19.14_1"
79,-0.023491719737649,0.0492706969380379,-0.120343951498468,-0.0234860557076246,0.0732410959856315,-0.0234703738242388,9.80818985428771e-07,2021,1,"IND.19.17_1"
80,-0.0145133258774877,0.0495233759284019,-0.111908695938634,-0.0144901681498248,0.0826631897854241,-0.0144370617344975,7.77800843508082e-07,2021,1,"IND.19.19_1"
81,-0.0296737384051085,0.0496958419680595,-0.127717598288271,-0.029542572968593,0.0675571253531606,-0.0292685478925705,2.3318721179343e-06,2021,1,"IND.19.20_1"
82,-0.017941577360034,0.0496814884245396,-0.115708018233177,-0.0178980923465515,0.079492918085185,-0.0178032834082842,9.02636880729198e-07,2021,1,"IND.19.22_1"
83,-0.0448667891323566,0.0499513037502766,-0.143640836695198,-0.0446549909097888,0.0526542838560693,-0.0442139245569706,4.41802724144549e-06,2021,1,"IND.19.23_1"
84,-0.0421124398708344,0.0493490397930145,-0.139668583830469,-0.0419141583186746,0.0542664947057883,-0.0415010899305344,3.12571637312421e-06,2021,1,"IND.19.24_1"
85,0.0199574362486601,0.0490375086665154,-0.0760153936061229,0.0198182632293741,0.116605826857216,0.0195363350212574,1.17681711033711e-06,2021,1,"IND.19.25_1"
