"ID","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
1,0.332328170537949,0.0937153249979019,0.15227710167526,0.330573112373043,0.522847346097044,0.327293872833252,9.69040792116638e-06
2,0.464563697576523,0.0940847247838974,0.284895622978692,0.46238892201451,0.656955014332625,0.458260416984558,1.12132346090849e-05
3,0.37223020195961,0.0916304439306259,0.196558972280251,0.370311534013188,0.559259060775498,0.36672055721283,1.11847709135702e-05
4,0.330841988325119,0.0325535275042057,0.266878614627776,0.330831961913281,0.394794463500991,0.330808758735657,1.21324018252699e-06
5,0.36810889840126,0.0331131592392921,0.303281885267338,0.368018937307752,0.433370355755548,0.367836683988571,1.34258032242113e-06
6,0.299891799688339,0.030403658747673,0.240369992665591,0.299799515511601,0.359861899095507,0.299609959125519,2.37434792171171e-06
7,0.0824358835816383,0.03012983687222,0.0226842728245254,0.0826018986327158,0.141198839446597,0.0829235464334488,1.30106646829386e-06
8,-0.0673302188515663,0.0300925448536873,-0.127168589050039,-0.0671058065829157,-0.00880077147099458,-0.0666670575737953,9.79291915189631e-07
9,-0.1064518019557,0.0300642233341932,-0.165989435569929,-0.106314607589845,-0.0477411781832572,-0.106049716472626,1.3989877155541e-06
10,-0.211008563637733,0.0297380294650793,-0.270244702254637,-0.210751192150903,-0.153263282543964,-0.210247829556465,1.36988959453788e-06
11,-0.274817407131195,0.0315145552158356,-0.337461152734652,-0.274586166947239,-0.213522081428339,-0.274132430553436,1.23469721471063e-06
12,-0.378416895866394,0.0314534939825535,-0.441151953544055,-0.378106823975969,-0.317463378628688,-0.377494543790817,3.36751409605348e-06
13,-0.384397029876709,0.03310377150774,-0.45024612605134,-0.38413080415033,-0.32009095342878,-0.383605152368546,2.10318685252948e-06
14,-0.360906034708023,0.0347014404833317,-0.429912297253681,-0.360631565733281,-0.293490937144458,-0.360088646411896,2.18786861249206e-06
15,-0.270319223403931,0.0362408645451069,-0.342273964259667,-0.27007034543238,-0.199816988754981,-0.26957756280899,2.20016675053021e-06
16,-0.121994681656361,0.0349363125860691,-0.191164288496788,-0.121827060218339,-0.0538287062691996,-0.121498569846153,1.95113693805024e-06
17,-0.0753297209739685,0.0352110154926777,-0.145009062217163,-0.0751713641429819,-0.00660357790114949,-0.0748614370822906,2.08829293751742e-06
