Model,DIC,logscore
basemodel,2917,0.283
model_1.1,2868,0.279
model_1.2,2907,0.282
model_1.3,2916,0.283
model_1.4,2806,0.272
model_2.1,2868,0.278
model_2.2,2870,0.279
model_2.3,2783,0.27
model_2.4,2868,0.279
model_3.1,2869,0.278
model_3.2,2779,0.27
model_3.3,2868,0.279
model_3.4,2788,0.27
model_3.5,2870,0.279
model_3.6,2784,0.27
model_4.1,2785,0.27
model_4.2,2869,0.278
model_4.3,2780,0.27
model_4.4,2788,0.27
