names,membership_1,membership_2,membership_3
IND.1_1,1,5,3
IND.10_1,5,4,5
IND.11_1,5,4,5
IND.12_1,2,1,1
IND.13_1,3,2,2
IND.14_1,3,2,2
IND.15_1,4,3,3
IND.16_1,1,5,4
IND.17_1,1,5,4
IND.18_1,,,
IND.19_1,5,4,5
IND.2_1,1,5,4
IND.20_1,5,4,5
IND.21_1,4,3,3
IND.22_1,4,3,3
IND.23_1,4,3,3
IND.24_1,4,3,3
IND.25_1,2,1,1
IND.26_1,4,3,4
IND.27_1,1,5,4
IND.28_1,3,2,2
IND.29_1,5,4,5
IND.3_1,4,3,3
IND.30_1,4,3,3
IND.31_1,1,5,4
IND.32_1,1,5,4
IND.33_1,4,3,3
IND.34_1,2,1,1
IND.35_1,3,1,1
IND.36_1,4,3,3
IND.4_1,4,3,3
IND.5_1,4,3,3
IND.6_1,3,2,2
IND.7_1,5,4,5
IND.8_1,5,4,5
IND.9_1,5,4,5
