names,membership_1,membership_2,membership_3,membership_4,membership_5,membership_6
IND.11.27.2_1,23,5,16,10,8,9
IND.11.27.3_1,23,5,16,10,8,9
IND.11.27.4_1,23,5,16,10,8,9
IND.11.27.5_1,9,5,19,10,8,9
IND.11.28.1_1,24,22,51,37,25,30
IND.11.28.10_1,,,,,,
IND.11.28.11_1,,,,,,
IND.11.28.12_1,,,,,,
IND.11.28.13_1,24,22,51,37,25,30
IND.11.28.14_1,24,22,51,37,25,30
IND.11.28.2_1,24,22,51,37,25,30
IND.11.28.3_1,24,22,51,37,25,30
IND.11.28.4_1,24,22,51,37,25,30
IND.11.28.5_1,24,22,51,37,25,30
IND.11.28.6_1,24,22,51,37,25,30
IND.11.28.7_1,24,22,51,37,25,30
IND.11.28.8_1,,22,51,37,25,30
IND.11.28.9_1,,,,,,
IND.11.29.1_1,25,4,15,9,9,8
IND.11.29.2_1,23,5,18,10,8,9
IND.11.29.3_1,25,4,15,9,9,8
IND.11.29.4_1,25,4,15,9,9,8
IND.11.29.5_1,25,4,15,9,9,8
IND.11.29.6_1,25,4,15,9,9,8
IND.11.29.7_1,25,4,15,9,9,8
IND.11.29.8_1,25,4,15,9,9,8
IND.11.3.1_1,24,5,51,37,25,30
IND.11.3.2_1,24,5,51,37,25,30
IND.11.3.3_1,24,5,51,37,25,30
IND.11.3.4_1,24,5,51,37,25,30
IND.11.30.1_1,13,21,50,14,24,30
IND.11.30.2_1,24,22,51,37,25,30
IND.11.30.3_1,24,22,51,37,25,30
IND.11.30.4_1,24,22,51,37,25,30
IND.11.30.5_1,24,22,51,37,25,30
IND.11.31.1_1,24,22,51,37,25,30
IND.11.32.1_1,24,5,51,37,25,30
IND.11.32.2_1,24,5,51,37,25,30
IND.11.32.3_1,24,5,51,37,25,30
IND.11.32.4_1,24,5,51,37,25,30
IND.11.32.5_1,24,5,51,37,25,30
IND.11.32.6_1,24,5,51,37,25,30
IND.11.32.7_1,24,5,51,37,25,30
IND.11.33.1_1,24,22,52,37,25,30
IND.11.33.2_1,24,22,52,37,25,30
IND.11.33.3_1,24,22,52,37,25,30
IND.11.33.4_1,24,22,52,37,25,30
IND.11.4.1_1,23,5,16,10,8,9
IND.11.4.2_1,23,5,19,10,8,9
IND.11.4.3_1,23,5,16,10,8,9
IND.11.4.4_1,23,5,16,10,8,9
IND.11.5.1_1,23,5,18,10,8,9
IND.11.5.2_1,23,5,18,10,8,9
IND.11.5.3_1,23,5,18,10,8,9
IND.11.5.4_1,23,5,18,10,8,9
IND.11.5.5_1,23,5,18,10,8,9
IND.11.5.6_1,23,5,18,10,8,9
IND.11.5.7_1,23,5,18,10,8,9
IND.11.5.8_1,23,5,18,10,8,9
IND.11.5.9_1,23,5,18,10,8,9
IND.11.6.1_1,24,5,51,37,25,30
IND.11.6.2_1,24,22,51,37,25,30
IND.11.6.3_1,24,22,51,37,25,30
