"ID","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
1,0.516139263092616,0.0813756594811988,0.361496444140459,0.514718714819388,0.678085557141681,NA,1.07888163128148e-06
2,0.631675435837357,0.0818367820975602,0.476122948504824,0.630348845037095,0.794231886871378,NA,1.05325268921786e-06
3,0.549565811443196,0.0809666896973642,0.396001728663869,0.548088259516156,0.710742822913651,NA,1.08961278540722e-06
4,0.371119365782665,0.0228926503502751,0.325765365965725,0.371310131466823,0.415473986810103,NA,8.42466843245827e-07
5,0.378024018694361,0.0229738153167343,0.332568849928407,0.378183883882055,0.422637047221014,NA,8.84476144954872e-07
6,0.309252938993672,0.0220919287380534,0.265464236407621,0.309442472551969,0.352054709499454,NA,9.30675235155353e-07
7,0.113149103911472,0.0224906183651342,0.0686249576298822,0.113345096547964,0.15664415330979,NA,9.21988649867363e-07
8,-0.0324527040825022,0.0220282851112158,-0.0759814125296379,-0.0322885419857852,0.0102031832098812,NA,9.31890651032169e-07
9,-0.103720073028018,0.0219900341112909,-0.147217461331955,-0.103547048969577,-0.061134128167284,NA,9.38923689767994e-07
10,-0.234139167656157,0.0218386239055723,-0.277266279265885,-0.233979806734651,-0.191869077544675,NA,8.97899223901167e-07
11,-0.307991764675292,0.0226747767865584,-0.352789616833217,-0.307826018408616,-0.264080462784594,NA,8.6027187020639e-07
12,-0.431181137296475,0.0225381266161493,-0.475557802410784,-0.43106749547131,-0.387447432767115,NA,7.97954879344499e-07
13,-0.443996396071527,0.0232648424564504,-0.489851846602619,-0.443868341305349,-0.398846241526635,NA,7.85632762821415e-07
14,-0.443414854071465,0.0242556662202278,-0.491202134573439,-0.443290603658759,-0.396316536911128,NA,7.62424342387865e-07
15,-0.396767342942157,0.0251846310832146,-0.446386545783153,-0.396642691303438,-0.347836024427673,NA,7.46117936383867e-07
16,-0.284315020099848,0.0248006819211846,-0.333261650652028,-0.28416147023487,-0.236198322186349,NA,7.49785084753002e-07
17,-0.190891320404238,0.0247924153249145,-0.239874361651318,-0.190721519741148,-0.142815786629495,NA,7.7691813441296e-07
