GID_2,year,week,date_begin,weeknum,GID_1,R0,R,cases,d2m,t2m,tp,uv,pop_density,pop_sum,Stringency,holiday,DEGURBA_L1,ln_R,cases_rate,cases_accu,cases_accu_rate
IND.1.1_1,2020,30,19/07/2020,1,IND.1_1,3.174935155,1.226756832,244.256973,23.90687571,27.99629071,0.130110121,106632.835,19.038,32030,87.5,0,Rural,-0.950913243,0.762588114,244.256973,0.762588114
IND.1.2_1,2020,30,19/07/2020,1,IND.1_1,3.174935155,1.226756832,244.256973,24.71165714,27.433502,0.290039936,86975.76686,31.44,103276,87.5,0,Suburban,-0.950913243,0.23650894,244.256973,0.23650894
IND.1.3_1,2020,30,19/07/2020,1,IND.1_1,3.174935155,1.226756832,244.256973,24.54597714,27.71021821,0.232605269,88790.00607,110.028,263128,87.5,0,Urban,-0.950913243,0.092828195,244.256973,0.092828195
IND.10.1_1,2020,30,19/07/2020,1,IND.10_1,3.174935155,1.226756832,244.256973,23.94409714,25.189075,1.439839514,48301.71071,511.161,841924,87.5,0,Suburban,-0.950913243,0.02901176,244.256973,0.02901176
IND.10.2_1,2020,30,19/07/2020,1,IND.10_1,3.174935155,1.226756832,244.256973,24.10966286,25.32180048,1.356542871,47726.20762,366.816,712115,87.5,0,Suburban,-0.950913243,0.034300215,244.256973,0.034300215
IND.11.10_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.325058491,61,25.04707491,28.38662143,0.24627457,68162.53297,684.705,2622719,87.5,0,Urban,-0.873830606,0.002325831,61,0.002325831
IND.11.11_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,2.110323663,3,26.30504619,28.45194653,3.449137197,49123.65041,213.44,930000,87.5,0,Urban,-0.408445878,0.000322581,3,0.000322581
IND.11.12_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.107687475,156,25.783562,29.95042214,0.178062524,68610.67614,593.938,1024864,87.5,0,Urban,-1.053012722,0.015221532,156,0.015221532
IND.11.13_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.307526751,41,26.13170534,28.09979214,2.049202357,63562.20864,519.383,874202,87.5,0,Suburban,-0.887149832,0.004689992,41,0.004689992
IND.11.14_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.288471919,77,26.02472624,28.18082413,2.332282833,55140.92776,230.467,1508940,87.5,0,Urban,-0.901830251,0.00510292,77,0.00510292
