"ID","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
1,0.433898776769638,0.0858919396996498,0.265621777988752,0.433738390361446,0.602960104470387,0.433465391397476,1.19202416063146e-06
2,0.530278503894806,0.0858796387910843,0.362095001659632,0.530094109059697,0.699384955312299,0.529777526855469,1.35399239819183e-06
3,0.449638992547989,0.0845397040247917,0.284060126599454,0.449461206109781,0.61610666517537,0.449158728122711,1.3703007932165e-06
4,0.376945972442627,0.028264619410038,0.321443261643516,0.376944533658421,0.432405607428088,0.376942783594131,1.49789472620159e-07
5,0.388929575681686,0.0286920461803675,0.332626426862851,0.388915653040465,0.445258952458653,0.388889700174332,1.05474977128565e-07
6,0.322160363197327,0.0272785369306803,0.268627274192723,0.32214769261282,0.375715045577807,0.322123885154724,1.26605464199642e-07
7,0.157245680689812,0.0274990107864141,0.103243102533772,0.157244993511556,0.211201231309572,0.157243996858597,2.18904224138751e-07
8,0.0322309583425522,0.0271525513380766,-0.0210794390653332,0.0322266294229527,0.085515544486853,0.0322185605764389,8.73182365501908e-08
9,-0.0757567584514618,0.0271123927086592,-0.128993089429892,-0.0757592675276064,-0.022556415563443,-0.0757637023925781,9.0372725418652e-08
10,-0.200802773237228,0.0264412499964237,-0.252755126040222,-0.200794232658724,-0.148947656252457,-0.200777471065521,2.58382334635519e-07
11,-0.275568217039108,0.0277290940284729,-0.330050880618377,-0.275559023531513,-0.221188295950895,-0.275540620088577,1.43183503284699e-07
12,-0.407211244106293,0.0273963436484337,-0.461073563673004,-0.407191087912068,-0.353513226867684,-0.407151460647583,2.23429498421299e-07
13,-0.429620295763016,0.0279663484543562,-0.484592896267271,-0.429602819857122,-0.374797404262383,-0.429568082094193,9.79552040324713e-08
14,-0.430697530508041,0.0289208218455315,-0.487544552787727,-0.430679938210617,-0.374002566338902,-0.43064484000206,8.00796512053219e-08
15,-0.406451523303986,0.029854953289032,-0.465134601112084,-0.406433230263953,-0.347926135444038,-0.406396746635437,1.2171650506392e-07
16,-0.287714719772339,0.0294122584164143,-0.34552347004293,-0.287698277883957,-0.230052299160703,-0.287665516138077,1.25785111362387e-07
17,-0.177695080637932,0.028891509398818,-0.234468819092362,-0.177682939234085,-0.121042359611627,-0.177658557891846,8.58807353953234e-08
