"ID","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","year","re","GID_2"
135,0.175845220685005,0.0606061816215515,0.0568854741584877,0.17583240898466,0.294762197578106,0.175812169909477,1.23487806745932e-06,2021,1,"IND.22.5_1"
136,0.513759911060333,0.0594321899116039,0.397255891011342,0.513695148365681,0.630511679317767,0.513572931289673,1.98444809576756e-06,2021,1,"IND.22.6_1"
137,0.541341483592987,0.0591653026640415,0.425346779389697,0.541281992113003,0.65755504701762,0.541170477867126,2.41195700533301e-06,2021,1,"IND.22.7_1"
138,0.451960355043411,0.0597744211554527,0.334690229161693,0.451929824572545,0.569286685689693,0.451874971389771,4.15255632799367e-06,2021,1,"IND.22.8_1"
139,0.37742480635643,0.0599545836448669,0.259785673078274,0.37739883367404,0.495094303220839,0.377352654933929,2.73494177748586e-06,2021,1,"IND.23.3_1"
140,0.518031716346741,0.0592787750065327,0.401781925470041,0.517983734904576,0.634436525537777,0.517894864082336,2.77221984012695e-06,2021,1,"IND.23.4_1"
141,-0.121400982141495,0.0649126470088959,-0.249009329960936,-0.121350957381899,0.0058120248605821,-0.121246755123138,2.00217348128351e-07,2021,1,"IND.23.5_1"
142,0.549907863140106,0.0597960576415062,0.432633191280948,0.549863850122712,0.667314271261982,0.549783170223236,4.16050366533424e-06,2021,1,"IND.24.10_1"
143,0.0429395064711571,0.062439326196909,-0.0796344605485282,0.0429320828067375,0.165435257803816,0.0429220981895924,1.22830936415137e-06,2021,1,"IND.24.3_1"
144,0.33812689781189,0.0600990578532219,0.220197385965403,0.338103112413842,0.456074655379311,0.338061362504959,2.68739301871768e-06,2021,1,"IND.24.5_1"
145,0.573549389839172,0.059536088258028,0.456882247429862,0.573470083803224,0.690545501378633,0.573320150375366,2.40392403959943e-06,2021,1,"IND.24.7_1"
146,0.0950693786144257,0.0611400492489338,-0.0249783429842709,0.0950709822675268,0.214991127091747,0.0950787886977196,2.31439709676623e-06,2021,1,"IND.26.10_1"
147,0.0433346182107925,0.0611590780317783,-0.0767711516135918,0.0433428436908513,0.163278322950968,0.0433639846742153,1.73423041820966e-06,2021,1,"IND.26.11_1"
148,0.149010017514229,0.0605216473340988,0.0302133991366584,0.148997824142075,0.267761410129733,0.14897857606411,3.51810633123768e-07,2021,1,"IND.26.12_1"
