Model,DIC,logscore
basemodel,1192,0.45
model_1.1,1193,0.45
model_1.2,1197,0.451
model_1.3,1196,0.451
model_1.4,1161,0.437
model_2.1,1197,0.452
model_2.2,1197,0.451
model_2.3,1170,0.441
model_2.4,1194,0.45
model_3.1,1206,0.455
model_3.2,1170,0.442
model_3.3,1198,0.452
model_3.4,1174,0.443
model_3.5,1197,0.452
model_3.6,1170,0.441
model_4.1,1178,0.445
model_4.2,1206,0.455
model_4.3,1171,0.442
model_4.4,1175,0.443
