"ID","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
1,0.394534409046173,0.0931034311652184,0.207733011415121,0.395856285171995,0.573988330749331,0.398511916399002,7.44846643164539e-05
2,0.490957826375961,0.0917801558971405,0.30730566486585,0.492022899860105,0.668680204383977,0.494149804115295,6.02591518210666e-05
3,0.471179962158203,0.0874058082699776,0.294932723803289,0.472714935587584,0.63907857569616,0.475856155157089,8.97105815515606e-05
4,0.585890531539917,0.0379770286381245,0.512141011161969,0.585617479056491,0.661165257961362,0.58509749174118,4.70456613710154e-05
5,0.551001131534576,0.0384279191493988,0.47629745008273,0.550751613578515,0.627078013967553,0.550265371799469,3.88887395566884e-05
6,0.434981465339661,0.0384941250085831,0.360200031718054,0.434707618333473,0.511256888000773,0.434162080287933,3.55749732503571e-05
7,0.281878590583801,0.0382397063076496,0.2076837558629,0.281572293871273,0.357748655831305,0.280959755182266,3.94440682360301e-05
8,0.0829958915710449,0.0360753946006298,0.012722916787908,0.0827889055228991,0.15437178326659,0.0823743119835854,1.93407508631762e-05
9,-0.060030035674572,0.0371033027768135,-0.132284469528589,-0.0602514477940186,0.0134077505435726,-0.0606949180364609,2.26325708646594e-05
10,-0.214044883847237,0.0374072901904583,-0.287123478474593,-0.21419151965518,-0.140193076931688,-0.21447379887104,1.46917937006985e-05
11,-0.296239137649536,0.0378294363617897,-0.370022275999453,-0.296425297722773,-0.22146766135695,-0.296794861555099,2.06330720990361e-05
12,-0.428259164094925,0.0385896526277065,-0.503920770379031,-0.42830810991409,-0.352365037425051,-0.428387701511383,6.71795458231494e-06
13,-0.470060259103775,0.0394104532897472,-0.547195521880826,-0.470159038518811,-0.39242135689371,-0.470345556735992,1.21652981755114e-05
14,-0.525656461715698,0.040215902030468,-0.604561088764154,-0.52568405186176,-0.446644488642767,-0.525723278522491,4.48881448587195e-06
15,-0.492196172475815,0.0404419153928757,-0.571434017059313,-0.492264868769652,-0.412626240638881,-0.492391049861908,7.76882997098637e-06
16,-0.434769034385681,0.0397571809589863,-0.512590093626638,-0.434862674665582,-0.356479583545822,-0.435042709112167,9.28429384004575e-06
17,-0.375000357627869,0.0402254909276962,-0.453597688491598,-0.375140181724187,-0.295678870754021,-0.375416576862335,1.40806312993691e-05
